date,theftType
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/1/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/2/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/3/2019,ROBBERY
3/4/2019,ROBBERY
3/4/2019,ROBBERY
3/4/2019,ROBBERY
3/4/2019,ROBBERY
3/4/2019,ROBBERY
3/4/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/5/2019,ROBBERY
3/6/2019,ROBBERY
3/6/2019,ROBBERY
3/6/2019,ROBBERY
3/6/2019,ROBBERY
3/6/2019,ROBBERY
3/6/2019,ROBBERY
3/6/2019,ROBBERY
3/6/2019,ROBBERY
3/6/2019,ROBBERY
3/6/2019,ROBBERY
3/6/2019,ROBBERY
3/6/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/7/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
3/8/2019,ROBBERY
