Date,theftType
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/13/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/12/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
12/11/2020,ROBBERY
11/15/2020,ROBBERY
11/4/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/12/2020,ROBBERY
8/11/2020,ROBBERY
8/11/2020,ROBBERY
8/11/2020,ROBBERY
8/11/2020,ROBBERY
8/11/2020,ROBBERY
8/11/2020,ROBBERY
